"Time Series 1 = CellDef_1.Attractant (Concentration)",,,,,,,,,,
"Time","Time Series 1","Time Series 1","Time Series 1","Time Series 1","Time Series 1","Time Series 2","Time Series 2","Time Series 2","Time Series 2","Time Series 2"
8.7,0.07,0.2,0.4,0.41,0.49,0,0.05,0,0.05,0.05
8.75,0.07,0.2,0.4,0.41,0.49,0,0.05,0,0.05,0.05
8.8,0.07,0.2,0.4,0.41,0.49,0,0.05,0,0.05,0.05
8.85,0.07,0.2,0.4,0.41,0.49,0,0.05,0,0.05,0.05
8.9,0.07,0.2,0.4,0.41,0.49,0,0.05,0,0.05,0.05
8.95,0.07,0.2,0.4,0.4,0.49,0,0.05,0,0.05,0.05
9,0.07,0.2,0.4,0.4,0.5,0,0.05,0,0.05,0.05
9.05,0.07,0.2,0.4,0.4,0.5,0,0.05,0,0.05,0.05
9.1,0.07,0.2,0.4,0.4,0.5,0,0.05,0,0.05,0.05
9.15,0.07,0.2,0.4,0.4,0.5,0,0.05,0,0.05,0.05
9.2,0.07,0.2,0.4,0.4,0.5,0,0.05,0,0.05,0.05
9.25,0.07,0.2,0.4,0.4,0.5,0,0.05,0,0.05,0.05
9.3,0.07,0.21,0.4,0.4,0.5,0,0.05,0,0.05,0.05
9.35,0.07,0.21,0.4,0.4,0.5,0,0.05,0,0.05,0.05
9.4,0.07,0.21,0.4,0.4,0.5,0,0.05,0,0.05,0.05
9.45,0.07,0.21,0.4,0.4,0.5,0,0.05,0,0.05,0.05
9.5,0.07,0.21,0.4,0.4,0.5,0,0.05,0,0.05,0.05
9.55,0.07,0.21,0.4,0.4,0.5,0,0.05,0,0.05,0.05
9.6,0.07,0.21,0.4,0.4,0.5,0,0.05,0,0.05,0.05
9.65,0.07,0.21,0.4,0.4,0.51,0,0.05,0,0.05,0.05
9.7,0.07,0.21,0.4,0.4,0.51,0,0.05,0,0.05,0.05
9.75,0.07,0.21,0.4,0.4,0.51,0,0.05,0,0.05,0.05
9.8,0.07,0.21,0.4,0.4,0.51,0,0.05,0,0.05,0.05
9.85,0.07,0.22,0.4,0.4,0.51,0,0.05,0,0.05,0.05
9.9,0.07,0.22,0.4,0.4,0.51,0,0.05,0,0,0.05
9.95,0.07,0.22,0.4,0.4,0.51,0.05,0.05,0,0,0.05
10,0.07,0.22,0.4,0.4,0.51,0.05,0.05,0.05,0,0.05
10.05,0.07,0.22,0.4,0.4,0.51,0.05,0.05,0.05,0,0.05
10.1,0.07,0.22,0.4,0.4,0.51,0.05,0.05,0.05,0,0.05
10.15,0.07,0.22,0.4,0.4,0.51,0.05,0.05,0.05,0,0.05
10.2,0.07,0.22,0.4,0.39,0.51,0.05,0.05,0.05,0,0.05
10.25,0.07,0.22,0.4,0.39,0.51,0.05,0.05,0.05,0,0.05
10.3,0.07,0.22,0.4,0.39,0.51,0.05,0.05,0.05,0,0.05
10.35,0.07,0.22,0.4,0.39,0.52,0.05,0.05,0.05,0,0.05
10.4,0.07,0.22,0.4,0.39,0.52,0.05,0.05,0.05,0,0.05
10.45,0.07,0.23,0.4,0.39,0.52,0.05,0.05,0.05,0,0.05
10.5,0.06,0.23,0.4,0.39,0.52,0.05,0.05,0.05,0,0.05
10.55,0.06,0.23,0.4,0.39,0.52,0.05,0.05,0.05,0,0.05
10.6,0.06,0.23,0.4,0.39,0.52,0.05,0.05,0.05,0,0.05
10.65,0.07,0.23,0.4,0.39,0.52,0.05,0.05,0.05,0,0.05
10.7,0.07,0.23,0.41,0.39,0.52,0.05,0.05,0.05,0,0.05
10.75,0.06,0.23,0.41,0.39,0.52,0.05,0.05,0.05,0,0.05
10.8,0.06,0.23,0.41,0.39,0.52,0.05,0.05,0.05,0,0.05
10.85,0.06,0.23,0.41,0.39,0.52,0.05,0.05,0.05,0,0.05
10.9,0.06,0.23,0.41,0.39,0.52,0.05,0.05,0.05,0,0.05
10.95,0.06,0.23,0.41,0.39,0.52,0.05,0.05,0.05,0,0.05
11,0.06,0.23,0.41,0.39,0.53,0.05,0.05,0.05,0,0.05
11.05,0.06,0.23,0.41,0.39,0.53,0.05,0.05,0.05,0,0.05
11.1,0.06,0.24,0.41,0.39,0.53,0.05,0.05,0.05,0,0.05
11.15,0.06,0.24,0.41,0.39,0.53,0.05,0.05,0.05,0,0.05
11.2,0.06,0.24,0.41,0.39,0.53,0.05,0.05,0.05,0,0.05
11.25,0.06,0.24,0.41,0.39,0.53,0.05,0.05,0.05,0,0.05
11.3,0.06,0.24,0.41,0.39,0.53,0.05,0.05,0.05,0,0.05
11.35,0.06,0.24,0.41,0.39,0.53,0.05,0.05,0.05,0,0.05
11.4,0.06,0.24,0.41,0.39,0.53,0.05,0.05,0.05,0,0.05
11.45,0.06,0.24,0.41,0.39,0.53,0.05,0.05,0.05,0.05,0.05
11.5,0.06,0.24,0.41,0.39,0.53,0.05,0.05,0.05,0.05,0.05
11.55,0.06,0.24,0.41,0.39,0.53,0.05,0.05,0.05,0.05,0.05
11.6,0.06,0.24,0.41,0.39,0.53,0.05,0.05,0.05,0.05,0.05
11.65,0.06,0.25,0.41,0.39,0.54,0.05,0.05,0.05,0.05,0.05
11.7,0.06,0.25,0.41,0.39,0.54,0.05,0.05,0.05,0.05,0.05
11.75,0.06,0.25,0.42,0.39,0.54,0.05,0.05,0.05,0.05,0.05
11.8,0.06,0.25,0.42,0.39,0.54,0.05,0.05,0.05,0.05,0.05
11.85,0.06,0.25,0.42,0.39,0.54,0.05,0.05,0.05,0.05,0.05
11.9,0.06,0.25,0.42,0.39,0.54,0.05,0.05,0.05,0.05,0.05
