"Time Series 1 = CellDef_1.Attractant (Concentration)",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Time","Time Series 1","Time Series 1","Time Series 1","Time Series 1",,"Time Series 2","Time Series 2","Time Series 2","Time Series 2",,"Time Series 3","Time Series 3",
139.5,0.0967197835,0.3906653643,0.1476907969,0.1361987233,,0,0,0,0.05,,0.05,0.05,0.05
139.55,0.0965044677,0.3911665678,0.1475070953,0.136519289,,0,0,0,0.05,,0.05,0.05,0.05
139.6,0.0963041425,0.3916261911,0.1473356366,0.1368386507,,0,0,0,0.05,,0.05,0.05,0.05
139.65,0.0961176991,0.3920476913,0.1471755624,0.1371565819,,0,0,0,0.05,,0.05,0.05,0.05
139.7,0.0959443927,0.3924343586,0.1470263243,0.1374729633,,0,0,0,0.05,,0.05,0.05,0.05
139.75,0.0957832515,0.3927892923,0.1468872309,0.1377875924,,0,0,0,0.05,,0.05,0.05,0.05
139.8,0.0956334233,0.3931151867,0.1467575431,0.1381005168,,0,0,0,0.05,,0.05,0.05,0.05
139.85,0.0954942107,0.393414402,0.146636939,0.1384114385,,0,0,0,0.05,,0.05,0.05,0.05
139.9,0.0953648806,0.3936895847,0.1465245724,0.1387202501,,0,0,0,0.05,,0.05,0.05,0.05
139.95,0.0952447712,0.3939426184,0.1464198947,0.1390269995,,0,0,0,0.05,,0.05,0.05,0.05
140,0.0951331317,0.3941751719,0.1463226676,0.1393314004,,0,0,0,0.05,,0.05,0.05,0.05
140.05,0.0950295329,0.3943891525,0.1462320685,0.1396333933,,0,0,0,0.05,,0.05,0.05,0.05
140.1,0.0949332595,0.3945860386,0.1461479664,0.1399329185,,0,0,0,0.05,,0.05,0.05,0.05
140.15,0.0948439002,0.3947675943,0.1460696936,0.1402297616,,0,0,0,0.05,,0.05,0.05,0.05
140.2,0.0947609186,0.3949343681,0.1459969878,0.140523982,,0,0,0,0.05,,0.05,0.05,0.05
140.25,0.0946838558,0.395088315,0.1459292889,0.1408153534,,0,0,0,0.05,,0.05,0.05,0.05
140.3,0.0946123183,0.395230031,0.1458663821,0.1411038041,,0,0,0,0.05,,0.05,0.05,0.05
140.35,0.0945458889,0.3953606844,0.1458079696,0.1413893104,,0,0,0,0.05,,0.05,0.05,0.05
140.4,0.0944841444,0.3954811811,0.1457536936,0.1416718125,,0,0,0,0.05,,0.05,0.05,0.05
140.45,0.0944267929,0.3955919981,0.1457032084,0.1419510484,,0,0,0.05,0.05,,0.05,0.05,0
140.5,0.0943736434,0.3956943989,0.1456450939,0.1422271132,,0,0,0.05,0.05,,0.05,0.05,0
140.55,0.094324255,0.3957887411,0.1455797315,0.1424998522,,0.05,0,0.05,0.05,,0,0.05,0
140.6,0.0942465663,0.3958759308,0.1455078721,0.1427693009,,0.05,0.05,0.05,0.05,,0,0,0
140.65,0.0941427827,0.3959997416,0.1454298735,0.1430353284,,0.05,0.05,0.05,0.05,,0,0,0
140.7,0.0940146625,0.3961573124,0.1453464627,0.1432977676,,0.05,0.05,0.05,0.05,,0,0,0
140.75,0.093863827,0.3963459015,0.1452578187,0.1435569406,,0.05,0.05,0.05,0.05,,0,0,0
140.8,0.0936918259,0.3965624332,0.1451645494,0.1438123822,,0.05,0.05,0.05,0.05,,0,0,0
140.85,0.0934999287,0.3968040228,0.1450668931,0.1440642834,,0.05,0.05,0.05,0.05,,0,0,0
140.9,0.0932895839,0.397069335,0.1449653149,0.1443125606,,0.05,0.05,0.05,0.05,,0,0,0
140.95,0.0930618405,0.3973548651,0.1448601604,0.1445570707,,0.05,0.05,0.05,0.05,,0,0,0
141,0.092817837,0.3976592302,0.1447515011,0.1447979927,,0.05,0.05,0.05,0.05,,0,0,0
141.05,0.0925585508,0.3979802608,0.1446397901,0.1450351715,,0.05,0.05,0.05,0.05,,0,0,0
141.1,0.0922848046,0.3983161688,0.1445254087,0.1452686548,,0.05,0.05,0.05,0.05,,0,0,0
141.15,0.0919976652,0.3986649036,0.1444081783,0.1454984069,,0.05,0.05,0.05,0.05,,0,0,0
141.2,0.0916977763,0.3990252495,0.1442885041,0.1457244396,,0.05,0.05,0.05,0.05,,0,0,0
141.25,0.0913859904,0.3993956327,0.1441664577,0.1459466577,,0.05,0.05,0.05,0.05,,0,0,0
141.3,0.0910629988,0.3997745991,0.1440422893,0.1461651564,,0.05,0.05,0.05,0.05,,0,0,0
141.35,0.0907294929,0.4001610279,0.1439159513,0.1463800311,,0.05,0.05,0.05,0.05,,0,0,0
141.4,0.0903861284,0.4005534649,0.1437876821,0.1465910196,,0.05,0.05,0.05,0.05,,0,0,0
141.45,0.0900334716,0.4009511948,0.1436573625,0.1467983961,,0.05,0.05,0.05,0.05,,0,0,0
141.5,0.0896721005,0.4013528824,0.1435253143,0.1470021009,,0.05,0.05,0.05,0,,0,0,0
141.55,0.0893026412,0.4017580986,0.1433913231,0.147186923,,0.05,0.05,0.05,0,,0,0,0
141.6,0.0889255226,0.4021656513,0.1432555318,0.1473549366,,0.05,0.05,0.05,0,,0,0,0
141.65,0.0885412693,0.4025752068,0.1431179523,0.1475079775,,0.05,0.05,0.05,0,,0,0,0
141.7,0.0881503761,0.4029856205,0.1429786086,0.1476471901,,0.05,0.05,0.05,0,,0,0,0
141.75,0.0877532542,0.4033969402,0.1428376317,0.1477741241,,0.05,0.05,0.05,0,,0,0,0
141.8,0.0873503268,0.4038080215,0.1426947832,0.1478897929,,0.05,0.05,0.05,0,,0,0,0
141.85,0.0869421065,0.4042187214,0.142550087,0.1479955316,,0.05,0.05,0.05,0,,0,0,0
141.9,0.0865288317,0.4046288013,0.1424036145,0.1480918765,,0.05,0.05,0.05,0,,0,0,0
141.95,0.086111033,0.4050374985,0.1422555089,0.1481801033,,0.05,0.05,0.05,0,,0,0,0
142,0.0856889784,0.4054450989,0.1421054125,0.1482606769,,0.05,0.05,0.05,0,,0,0,0
142.05,0.0852631092,0.405850935,0.1419535875,0.1483343244,,0.05,0.05,0.05,0,,0,0,0
142.1,0.0848336518,0.4062548637,0.1417997837,0.1484018445,,0.05,0.05,0.05,0,,0,0,0
142.15,0.0844009578,0.4066569328,0.1416441321,0.148463428,,0.05,0.05,0.05,0,,0,0,0
142.2,0.0839653075,0.4070570469,0.1414866567,0.1485198617,,0.05,0.05,0.05,0,,0,0,0
142.25,0.0835270584,0.4074551105,0.1413272142,0.1485715508,,0.05,0.05,0.05,0,,0,0,0
142.3,0.083086437,0.4078506947,0.141165936,0.1486188889,,0.05,0.05,0.05,0,,0,0,0
142.35,0.0826437771,0.4082447529,0.1410026193,0.1486621737,,0.05,0.05,0.05,0,,0,0,0
142.4,0.082199198,0.4086365223,0.1400992393,0.1487017512,,0.05,0.05,0.05,0,,0,0,0
142.45,0.0817532063,0.4090260029,0.1399207115,0.1487380743,,0.05,0.05,0.05,0,,0,0,0
142.5,0.0813057542,0.4094141006,0.1397399426,0.1487712741,,0.05,0.05,0,0,,0,0,0.05
142.55,0.0808572173,0.409800005,0.139570713,0.1488016725,,0.05,0.05,0,0,,0,0,0.05
142.6,0.0804078162,0.4101850986,0.1394127727,0.1488294005,,0,0.05,0,0,,0.05,0,0.05
142.65,0.0799925029,0.4105683327,0.1392652988,0.148854816,,0,0.05,0,0,,0.05,0,0.05
142.7,0.0796089232,0.4109503746,0.1391276598,0.1488779426,,0,0.05,0,0,,0.05,0,0.05
142.75,0.0792545378,0.4113317966,0.1389992833,0.1488991976,,0,0.05,0,0,,0.05,0,0.05
142.8,0.0789271891,0.4117124081,0.1388795853,0.148918426,,0,0.05,0,0,,0.05,0,0.05
142.85,0.0786248267,0.4120925426,0.1387680054,0.1489361167,,0,0.05,0,0,,0.05,0,0.05
142.9,0.0783455014,0.4124724388,0.1386641979,0.1489521623,,0,0.05,0,0,,0.05,0,0.05
142.95,0.0780875921,0.4128523827,0.1385674715,0.1489667773,,0,0.05,0,0,,0.05,0,0.05
143,0.0778493702,0.4132329941,0.1384775162,0.1489800453,,0,0.05,0,0,,0.05,0,0.05
143.05,0.0776292443,0.4136144161,0.1383938789,0.1489921451,,0,0.05,0,0.05,,0.05,0,0.05
143.1,0.0774260223,0.413996172,0.1383160114,0.1490493417,,0,0.05,0,0.05,,0.05,0,0.05
143.15,0.0772382259,0.414379549,0.1382436395,0.149148345,,0,0.05,0,0.05,,0.05,0,0.05
143.2,0.0770647943,0.4147648811,0.1381762981,0.1492859244,,0,0.05,0,0.05,,0.05,0,0.05
143.25,0.0769045651,0.4151519299,0.1381138444,0.1494593501,,0,0.05,0,0.05,,0.05,0,0.05
143.3,0.0767565429,0.4155409813,0.1380556941,0.1496656656,,0,0.05,0,0.05,,0.05,0,0.05
143.35,0.076619786,0.4159327507,0.1380017877,0.1499027967,,0,0.05,0,0.05,,0.05,0,0.05
143.4,0.0764934599,0.4163271427,0.1379516006,0.1501683593,,0,0.05,0,0.05,,0.05,0,0.05
143.45,0.0763767958,0.4167246819,0.1379049897,0.1504601836,,0,0.05,0,0.05,,0.05,0,0.05
143.5,0.0762690067,0.417125845,0.1378618002,0.1507766724,,0,0.05,0,0.05,,0.05,0,0.05
143.55,0.0761694133,0.4175305843,0.1378215551,0.1511158824,,0,0.05,0,0.05,,0.05,0,0.05
143.6,0.0760773957,0.4179394245,0.1377841949,0.1514762998,,0,0.05,0,0.05,,0.05,0,0.05
143.65,0.0759923339,0.4183520317,0.137749505,0.1518565178,,0,0.05,0,0.05,,0.05,0,0.05
143.7,0.0759138048,0.4187695503,0.1377172828,0.1522549868,,0,0.05,0,0.05,,0.05,0,0.05
143.75,0.0758411884,0.4191915035,0.1376873732,0.1526705742,,0,0.05,0,0.05,,0.05,0,0.05
143.8,0.0757741868,0.4196182251,0.1376594782,0.1531021714,,0,0.05,0,0.05,,0.05,0,0.05
143.85,0.0757123291,0.4200503349,0.137633574,0.1535486221,,0,0.05,0,0.05,,0.05,0,0.05
143.9,0.0756551206,0.4204879761,0.1376095414,0.154008913,,0,0.05,0,0.05,,0.05,0,0.05
143.95,0.0756023407,0.4209308147,0.1375872374,0.1544822097,,0,0.05,0,0.05,,0.05,0,0.05
144,0.0755535245,0.4213796139,0.1375664353,0.154967618,,0,0.05,0,0.05,,0.05,0,0.05
144.05,0.0755084276,0.4218342304,0.1375470161,0.1554643512,,0,0.05,0,0.05,,0.05,0,0.05
144.1,0.0754668474,0.4232283115,0.1375290871,0.1559716821,,0,0.05,0,0.05,,0.05,0,0.05
144.15,0.0754284263,0.4236896038,0.1375123143,0.1564890146,,0,0.05,0,0.05,,0.05,0,0.05
144.2,0.0753929913,0.4241571903,0.1374967456,0.1570154667,,0,0.05,0,0.05,,0.05,0,0.05
144.25,0.0753602743,0.4246315956,0.1374822855,0.1575506568,,0,0.05,0,0.05,,0.05,0,0.05
144.3,0.0753299832,0.4251128674,0.1374686837,0.1580938816,,0,0.05,0,0.05,,0.05,0,0.05
144.35,0.0753020465,0.4256010056,0.1374560952,0.1586445451,,0,0.05,0,0.05,,0.05,0,0.05
144.4,0.0752762437,0.4260960579,0.137444365,0.1592024207,,0,0.05,0,0.05,,0.05,0,0.05
144.45,0.0752525091,0.4265983582,0.1374334335,0.1597665668,,0,0.05,0.05,0.05,,0.05,0,0
144.5,0.0752305508,0.4271074295,0.1374313354,0.1603369117,,0,0.05,0.05,0.05,,0.05,0,0
144.55,0.075210315,0.4276242256,0.1374375105,0.1609128833,,0.05,0.05,0.05,0.05,,0,0,0
144.6,0.075183481,0.4281477928,0.1374511003,0.1614939928,,0.05,0.05,0.05,0.05,,0,0,0
144.65,0.0751504898,0.428678894,0.137471664,0.1620799422,,0.05,0.05,0.05,0.05,,0,0,0
144.7,0.0751117587,0.4292169571,0.1374982834,0.1626703739,,0.05,0.05,0.05,0.05,,0,0,0
144.75,0.0750676811,0.4297627926,0.1375303864,0.1632647634,,0.05,0.05,0.05,0.05,,0,0,0
144.8,0.0750187278,0.430315876,0.1375673532,0.163862884,,0.05,0.05,0.05,0.05,,0,0,0
144.85,0.0749651074,0.4308759212,0.137608695,0.1644641638,,0.05,0.05,0.05,0.05,,0,0,0
144.9,0.07490713,0.4314437866,0.1376537442,0.1650684476,,0.05,0.05,0.05,0.05,,0,0,0
144.95,0.0748450518,0.4320184708,0.1377019763,0.1656753659,,0.05,0.05,0.05,0.05,,0,0,0
145,0.0747791588,0.4326008797,0.137752986,0.1662845135,,0.05,0.05,0.05,0.05,,0,0,0
145.05,0.0747096777,0.433190012,0.1378063202,0.1668957233,,0.05,0.05,0.05,0.05,,0,0,0
145.1,0.0746367693,0.4337868214,0.137861681,0.1675085187,,0.05,0.05,0.05,0.05,,0,0,0
145.15,0.074560684,0.4343905449,0.1379186273,0.1681227207,,0.05,0.05,0.05,0.05,,0,0,0
145.2,0.0744815052,0.4350016117,0.1379768729,0.1687378764,,0.05,0.05,0.05,0.05,,0,0,0
145.25,0.0743994176,0.4356197357,0.1380362391,0.169353807,,0.05,0.05,0.05,0.05,,0,0,0
145.3,0.0743145227,0.4362444401,0.1380962968,0.1699702024,,0.05,0.05,0.05,0.05,,0,0,0
145.35,0.0742268384,0.4368765354,0.1381569266,0.170586586,,0.05,0.05,0.05,0.05,,0,0,0
145.4,0.0741365314,0.4375154495,0.1382179141,0.1712029815,,0.05,0.05,0.05,0.05,,0,0,0
145.45,0.0740436375,0.4381612778,0.1382793188,0.1718188643,,0.05,0.05,0.05,0.05,,0,0,0
145.5,0.0739481986,0.4388138771,0.1383407831,0.1724341273,,0.05,0.05,0.05,0.05,,0,0,0
145.55,0.073850441,0.4394729614,0.1384022355,0.1730484962,,0.05,0.05,0.05,0.05,,0,0,0
145.6,0.0737502337,0.4401388168,0.138463819,0.1736614943,,0.05,0.05,0.05,0.05,,0,0,0
145.65,0.0736475706,0.4408109665,0.1392972946,0.1742730498,,0.05,0.05,0.05,0.05,,0,0,0
145.7,0.0735425353,0.4414894581,0.1393505692,0.1748829007,,0.05,0.05,0.05,0.05,,0,0,0
145.75,0.0734352231,0.4421745777,0.1394038558,0.1754906654,,0.05,0.05,0.05,0.05,,0,0,0
145.8,0.0733255506,0.4428655624,0.1394571781,0.1760962367,,0.05,0.05,0.05,0.05,,0,0,0
145.85,0.0732135475,0.4435628891,0.13951056,0.1766992688,,0.05,0.05,0.05,0.05,,0,0,0
145.9,0.0730991781,0.4442659855,0.1395638585,0.1772996187,,0.05,0.05,0.05,0.05,,0,0,0
145.95,0.0729824364,0.4449753761,0.1396174431,0.1778970003,,0.05,0.05,0.05,0.05,,0,0,0
146,0.0728633046,0.4456906319,0.1396710873,0.1784911871,,0.05,0.05,0.05,0.05,,0,0,0
146.05,0.072741884,0.4464111805,0.1397251248,0.1790820837,,0.05,0.05,0.05,0.05,,0,0,0
146.1,0.0726180315,0.4471374035,0.1397794724,0.1798941493,,0.05,0.05,0.05,0.05,,0,0,0
146.15,0.0724917531,0.4478694439,0.1398342729,0.1804775834,,0.05,0.05,0.05,0.05,,0,0,0
146.2,0.0723630428,0.4486069202,0.1398898005,0.1810570836,,0.05,0.05,0.05,0.05,,0,0,0
146.25,0.0722318888,0.4493494034,0.1399459481,0.1816323757,,0.05,0.05,0.05,0.05,,0,0,0
146.3,0.0720982492,0.4500972748,0.140002954,0.182203424,,0.05,0.05,0.05,0.05,,0,0,0
146.35,0.071962142,0.450850153,0.1400607586,0.1827697873,,0.05,0.05,0.05,0.05,,0,0,0
146.4,0.0718235493,0.451608181,0.1401196599,0.1833316684,,0.05,0.05,0.05,0.05,,0,0,0
146.45,0.0716824055,0.4523711681,0.1401797652,0.1838886738,,0.05,0.05,0.05,0.05,,0,0,0
146.5,0.0715387464,0.4531384945,0.1402410865,0.1844406366,,0.05,0.05,0.05,0.05,,0,0,0
146.55,0.0713925064,0.4539112091,0.140303874,0.1849875569,,0.05,0.05,0.05,0.05,,0,0,0
146.6,0.0712436438,0.4546879768,0.1403681159,0.1855292678,,0,0.05,0.05,0.05,,0.05,0,0
146.65,0.0711040854,0.4554694176,0.1404341817,0.1860656857,,0,0.05,0.05,0.05,,0.05,0,0
146.7,0.0709733188,0.4562552452,0.1405018806,0.1865966558,,0,0.05,0.05,0.05,,0.05,0,0
146.75,0.0708509266,0.4570455074,0.1405716181,0.1871221185,,0,0.05,0.05,0.05,,0.05,0,0
146.8,0.0707365394,0.4578401089,0.1406434059,0.1876420021,,0,0.05,0.05,0.05,,0.05,0,0
146.85,0.0706296742,0.4586388588,0.1407173276,0.1881560802,,0,0.05,0.05,0.05,,0.05,0,0
146.9,0.0705300331,0.4594415188,0.14079355,0.1886644363,,0,0.05,0.05,0.05,,0.05,0,0
146.95,0.0704369962,0.460248518,0.1408722162,0.1891669273,,0,0.05,0.05,0.05,,0.05,0,0
147,0.0703502893,0.4610589027,0.1409534693,0.1896636248,,0,0.05,0.05,0.05,,0.05,0,0
147.05,0.0702695847,0.4618737221,0.1410372734,0.1901544571,,0,0.05,0.05,0.05,,0.05,0,0
147.1,0.0701945484,0.4626916885,0.1411238313,0.190639317,,0,0.05,0.05,0.05,,0.05,0,0
147.15,0.0701246679,0.4635135651,0.1412134528,0.1911182761,,0,0.05,0.05,0.05,,0.05,0,0
147.2,0.0700596988,0.4643391609,0.1413059592,0.1915912747,,0,0.05,0.05,0.05,,0.05,0,0
147.25,0.0699994206,0.4651683331,0.1414015174,0.192058301,,0,0.05,0.05,0.05,,0.05,0,0
147.3,0.0699433506,0.4660009861,0.1415004015,0.1925195336,,0,0.05,0.05,0.05,,0.05,0,0
147.35,0.0698913276,0.4668367863,0.14160254,0.1929747105,,0,0.05,0.05,0.05,,0.05,0,0
