"Time Series 6 = CellDef_1.Attractant (Concentration)",,,,,,,,,,
"Time Series 7 = CellDef_2.Attractant (Concentration)",,,,"Time Series 2 = CellDef_2.runTime (Cells)",,,,,,
"Time Series 8 = CellDef_3.Attractant (Concentration)",,,,"Time Series 3 = CellDef_3.runTime (Cells)",,,,,,
"Time Series 9 = CellDef_4.Attractant (Concentration)",,,,"Time Series 4 = CellDef_4.runTime (Cells)",,,,,,
"Time Series 10 = CellDef_5.Attractant (Concentration)",,,,"Time Series 5 = CellDef_5.runTime (Cells)",,,,,,
"Time","Time Series 6","Time Series 7","Time Series 8","Time Series9","Time Series 10","Time Series 1","Time Series 2","Time Series 3","Time Series 4","Time Series 5"
2.54,0.18,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.56,0.18,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.58,0.18,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.6,0.18,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.62,0.18,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.64,0.18,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.66,0.18,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.68,0.18,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.7,0.18,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.72,0.18,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.74,0.18,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.76,0.18,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.78,0.18,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.8,0.18,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.82,0.18,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.84,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
2.86,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
2.88,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
2.9,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
2.92,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
2.94,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
2.96,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
2.98,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.02,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.04,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.06,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.08,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.1,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.12,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.14,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.16,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.18,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.2,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.22,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.24,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.26,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.28,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.3,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.32,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.34,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.36,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.38,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.4,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.42,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.44,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.46,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.48,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.5,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.52,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.54,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.56,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.58,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.6,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.62,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.64,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.66,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.68,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.7,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.72,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.74,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.76,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.78,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.8,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.82,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.84,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.86,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.88,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.9,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.92,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.94,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.96,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
3.98,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
4,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
4.02,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0.02,0.02
4.04,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.06,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.08,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.1,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.12,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.14,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.16,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.18,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.2,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.22,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.24,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.26,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.28,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.3,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.32,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.34,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.36,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.38,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.4,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.42,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.44,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.46,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.48,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.5,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.52,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.54,0.18,0.32,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.56,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.58,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.6,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.62,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.64,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.66,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.68,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.7,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.72,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.74,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.76,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.78,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.8,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.82,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.84,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.86,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.88,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.9,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.92,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.94,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.96,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
4.98,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.02,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.04,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.06,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.08,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.1,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.12,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.14,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.16,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.18,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.2,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.22,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.24,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.26,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.28,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.3,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.32,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.34,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.36,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.38,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.4,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.42,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.44,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.46,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.48,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.5,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.52,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.54,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.56,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.58,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.6,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.62,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.64,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.66,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.68,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.7,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.72,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.74,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.76,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.78,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.8,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.82,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.84,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.86,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.88,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.9,0.18,0.33,0.21,0.24,0.27,0.02,0.02,0.02,0,0.02
5.92,0.18,0.33,0.22,0.24,0.27,0.02,0.02,0.02,0,0.02
5.94,0.18,0.33,0.22,0.24,0.27,0.02,0.02,0.02,0,0.02
5.96,0.18,0.33,0.22,0.24,0.27,0.02,0.02,0.02,0,0.02
5.98,0.18,0.33,0.22,0.24,0.27,0.02,0.02,0.02,0,0.02
6,0.18,0.33,0.22,0.24,0.27,0.02,0.02,0.02,0.02,0.02
6.02,0.18,0.33,0.22,0.24,0.27,0.02,0.02,0.02,0.02,0.02
6.04,0.18,0.33,0.22,0.24,0.27,0.02,0.02,0.02,0.02,0.02
6.06,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.08,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.1,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.12,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.14,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.16,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.18,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.2,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.22,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.24,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.26,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.28,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.3,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.32,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.34,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.36,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.38,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.4,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
6.42,0.18,0.33,0.22,0.24,0.27,0,0.02,0.02,0.02,0.02
