Time Series 6 = CellDef_1.Attractant (Concentration)
Time Series 7 = CellDef_2.Attractant (Concentration)
Time Series 8 = CellDef_3.Attractant (Concentration)
Time Series 9 = CellDef_4.Attractant (Concentration)
Time Series 10 = CellDef_5.Attractant (Concentration)

Time,Time Series 6,Time Series 7,Time Series 8,Time Series 9,Time Series 10
2.14,0.1851869583,0.3158735037,0.2059144258,0.2441146612,0.2643404484
2.16,0.1851805568,0.3159018755,0.2059327602,0.2440947056,0.2643496037
2.18,0.1851735711,0.3159334660,0.2059531450,0.2440725327,0.2643595695
2.20,0.1851659179,0.3159679890,0.2059752703,0.2440482855,0.2643707991
2.22,0.1851575375,0.3160054684,0.2059993029,0.2440221310,0.2643828392
2.24,0.1851485968,0.3160455465,0.2060250044,0.2439940929,0.2643957138
2.26,0.1851392031,0.3160880566,0.2060522556,0.2439644814,0.2644094467
2.28,0.1851292253,0.3161329746,0.2060810566,0.2439331055,0.2644237757
2.30,0.1851186991,0.3161802053,0.2061111689,0.2439004660,0.2644389391
2.32,0.1851077199,0.3162295103,0.2061426878,0.2438662529,0.2644546032
2.34,0.1850963473,0.3162806034,0.2061754227,0.2438308239,0.2644711494
2.36,0.1850845218,0.3163336754,0.2062092781,0.2437941074,0.2644881964
2.38,0.1850723982,0.3163884401,0.2062443256,0.2437561989,0.2645057678
2.40,0.1850598216,0.3164447784,0.2062803507,0.2437174082,0.2645238161
2.42,0.1850468278,0.3165027380,0.2063173532,0.2436774731,0.2645425081
2.44,0.1850336075,0.3165621042,0.2063553333,0.2436367035,0.2645614147
2.46,0.1850200295,0.3166228533,0.2063940763,0.2435948372,0.2645811319
2.48,0.1850062370,0.3166849852,0.2064336538,0.2435523033,0.2646009207
2.50,0.1849920392,0.3167482853,0.2064740658,0.2435088158,0.2646212816
2.52,0.1849777222,0.3168126345,0.2065151930,0.2434649944,0.2646417856
2.54,0.1849630237,0.3168781519,0.2065569162,0.2434201002,0.2646628618
2.56,0.1849482179,0.3169447899,0.2065993309,0.2433746815,0.2646842480
2.58,0.1849331141,0.3170122385,0.2066424847,0.2433287382,0.2647056341
2.60,0.1849177957,0.3170806646,0.2066859484,0.2432822704,0.2647277594
2.62,0.1849023223,0.3171499729,0.2067300558,0.2432352781,0.2647498131
2.64,0.1848866701,0.3172199965,0.2067746878,0.2431879282,0.2647721529
2.66,0.1848707914,0.3172909260,0.2068197489,0.2431400299,0.2647948742
2.68,0.1848547459,0.3173624992,0.2068652868,0.2430918455,0.2648177147
2.70,0.1848386049,0.3174348116,0.2069113016,0.2430432558,0.2648408413
2.72,0.1848222971,0.3175077200,0.2069575787,0.2429941654,0.2648641586
2.74,0.1848058105,0.3175812006,0.2070043802,0.2429448366,0.2648877382
2.76,0.1847891808,0.3176552773,0.2070514202,0.2428952932,0.2649113178
2.78,0.1847724795,0.3177300453,0.2070987463,0.2428452969,0.2649351120
2.80,0.1847557306,0.3178051233,0.2071464539,0.2427951813,0.2649591923
2.82,0.1847387314,0.3178809166,0.2071945190,0.2427448034,0.2649832726
2.84,0.1847216368,0.3179569483,0.2072427750,0.2426941633,0.2650075436
2.86,0.1847045302,0.3180333614,0.2072913408,0.2426435232,0.2650319815
2.88,0.1846871734,0.3181104660,0.2073401451,0.2425925970,0.2650565624
2.90,0.1846698880,0.3181878328,0.2073891878,0.2425414085,0.2650812387
2.92,0.1846026778,0.3182654619,0.2074384451,0.2424901962,0.2651059866
2.94,0.1845852017,0.3183436155,0.2074878693,0.2424387455,0.2651308537
2.96,0.1845676422,0.3184217930,0.2075374126,0.2423871517,0.2651558876
2.98,0.1845500112,0.3185006142,0.2075871944,0.2423356771,0.2651807785
3.00,0.1845323801,0.3185795069,0.2076372623,0.2422839403,0.2652058840
3.02,0.1845145583,0.3186589003,0.2076873302,0.2422321796,0.2652312040
3.04,0.1844967246,0.3187385082,0.2077377558,0.2421803236,0.2652565002
3.06,0.1844789028,0.3188182592,0.2077879667,0.2421283960,0.2652818680
3.08,0.1844609380,0.3188982487,0.2078386068,0.2420763493,0.2653074265
3.10,0.1844428897,0.3189786434,0.2078892469,0.2420243740,0.2653327227
3.12,0.1844248056,0.3190589905,0.2079399586,0.2419721365,0.2653584242
3.14,0.1844066739,0.3191397905,0.2079909086,0.2419201612,0.2653840780
3.16,0.1843885303,0.3192206621,0.2080419064,0.2418681622,0.2654096842
3.18,0.1843702912,0.3193017960,0.2080930233,0.2418160439,0.2654354334
3.20,0.1843519926,0.3193830490,0.2081441879,0.2417637587,0.2654613018
